Entidad,Proveedor,Valor (COP),Fecha del Proceso,Año
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CONTINENTES COMERCIALES S.A.S.,82917988.0,2019-12-17,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,DANIEL TARAZONA,4870000.0,2019-06-26,2019.0
PSS S.A.,LICENIA ESCAMILLA VARSILIO,8846000.0,2022-08-30,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,662475.0,2022-09-07,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,EQUISUMINISTROS Y CONSTRUCCIONES SAS,6824000.0,2025-07-01,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MIGUEL ANGEL VALLEJO BURGOS,20511944.0,2020-08-20,2020.0
INSTITUTO UNIVERSITARIO DE LA PAZ,DIAGO WELL SERVICES SAS,119000000.0,2024-05-17,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,REPRESENTACIONES GANADERAS LIMITADA REPREGAN LTDA,4870000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SUMINISTROS MAYBE SAS,2800000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,31058747.0,2024-11-26,2024.0
INSTITUTO UNIVERSITARIO DE LA PAZ,LUIS IGNACIO BALAGUERA ORTIZ,2464788.0,2022-06-15,2022.0
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,SERVICIVIL SAS,397539518.0,2024-11-15,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,INGENIA SOLUCIONES S.A.S,36124000.0,2022-04-07,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,PABLO VICENTE MEDINA ALONSO,11100000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MACRORIGAMI SAS,3750000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ZAYDA ELENA GOMEZ RANGEL,31624114.0,2022-08-08,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,22125000.0,2022-10-27,2022.0
INSTITUTO UNIVERSITARIO DE LA PAZ,GOPHER GROUP SAS,58000000.0,2025-07-09,2025.0
INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR CRISTO REY,SERVICIVIL SAS,95364511.0,2023-08-29,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,203207874.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,INDULTEC SOLUCIONES INTEGRALES SAS,15106618.0,2024-07-10,2024.0
